Date,Position,Track Name,Artist,Streams,Date,Region,Continent
2017-01-24,8,Closer,The Chainsmokers,2685448,2017-01-24,global,
2017-01-24,9,I Feel It Coming,The Weeknd,2580382,2017-01-24,global,
2017-01-24,10,Don't Wanna Know,Maroon 5,2495624,2017-01-24,global,
2017-01-25,1,Shape of You,Ed Sheeran,7259975,2017-01-25,global,
2017-01-25,2,Paris,The Chainsmokers,4073319,2017-01-25,global,
2017-01-25,3,Castle on the Hill,Ed Sheeran,3590988,2017-01-25,global,
2017-01-25,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3374636,2017-01-25,global,
2017-01-25,5,Starboy,The Weeknd,3238092,2017-01-25,global,
2017-01-25,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3195206,2017-01-25,global,
2017-01-25,7,Say You Won't Let Go,James Arthur,2775738,2017-01-25,global,
2017-01-25,8,Closer,The Chainsmokers,2738403,2017-01-25,global,
2017-01-25,9,I Feel It Coming,The Weeknd,2619488,2017-01-25,global,
2017-01-25,10,Don't Wanna Know,Maroon 5,2535018,2017-01-25,global,
2017-01-26,1,Shape of You,Ed Sheeran,7398092,2017-01-26,global,
2017-01-26,2,Paris,The Chainsmokers,4159004,2017-01-26,global,
2017-01-26,3,Castle on the Hill,Ed Sheeran,3651760,2017-01-26,global,
2017-01-26,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3520010,2017-01-26,global,
2017-01-26,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3240693,2017-01-26,global,
2017-01-26,6,Starboy,The Weeknd,3199664,2017-01-26,global,
2017-01-26,7,Say You Won't Let Go,James Arthur,2786858,2017-01-26,global,
2017-01-26,8,Closer,The Chainsmokers,2773089,2017-01-26,global,
2017-01-26,9,Despacito (Featuring Daddy Yankee),Luis Fonsi,2676609,2017-01-26,global,
2017-01-26,10,I Feel It Coming,The Weeknd,2647528,2017-01-26,global,
2017-01-27,1,Shape of You,Ed Sheeran,7765131,2017-01-27,global,
2017-01-27,2,Paris,The Chainsmokers,4287637,2017-01-27,global,
2017-01-27,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3813687,2017-01-27,global,
2017-01-27,4,Castle on the Hill,Ed Sheeran,3693885,2017-01-27,global,
2017-01-27,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3463085,2017-01-27,global,
2017-01-27,6,Starboy,The Weeknd,3232580,2017-01-27,global,
2017-01-27,7,Despacito (Featuring Daddy Yankee),Luis Fonsi,2926574,2017-01-27,global,
2017-01-27,8,Bad and Boujee (feat. Lil Uzi Vert),Migos,2923583,2017-01-27,global,
